country,category,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,All
Australia,donor,0.9611905954395813,0.3960197178545812,1.827482752059695,0.7499847534421122,1.4741897131105264,0.9894669473309333,0.29470120665605226,0.21005211135503413,0.1324175934741216,0.13240519093188968,0.1396746200932204,0.04054253992669835,0.08555852789504009,0.4970559265767881,0.25005726591538086,0.027341720681860682,2.0872612866498566,0.9357433450677692,5.230570698037359,0.22297408188527876,0.4141143309631945,0.48665038597626065,0.6938934650447804,0.6961201309071386,0.589220904472655,0.6553676882387872,0.45370322950787795,1.1518291314528037,1.108730243308067,0.4332124533489981,1.4477184825296627,0.25118184251337133,0.42030788237127614,0.3545329948767151,0.16981006244056282,0.20445119069526846,0.2148978679227633,0.4278840804150726,0.6276574718091629,0.5686884860567061,0.8197613156398447,0.6670088951351095
Australia,recipient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916860522544234,5.372986954446073,0.03290957472531829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7521388309744451,0.8739486830542708,2.5211801797937134,2.7334661764385433,0.0,0.0,1.4535345324756914,0.0,0.0,0.0,6.67397250153323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7013601828197149
Austria,donor,0.0,0.3545154394584933,0.0,0.3512578192308386,0.052936729338060214,0.5638420864672725,0.0748717671966213,0.024542804226408928,0.3839220311228452,0.0034457158412030055,0.32582600117190025,0.0,1.0784769036972228,0.31131006094621483,0.0010566910026293763,0.00623484840417527,0.23393792349565354,0.0346393341957871,0.4406293908077428,0.029883986855558452,0.0948159923687694,0.0038934242255409548,0.01867939380467277,0.2723803274164897,0.11185962411687247,0.19027715830517128,0.14336362309881895,0.4134575970035595,0.7207058321983103,0.6142237283145663,0.8869642739956684,0.6728777755726454,0.25965296044455544,0.10486343462454893,0.14147036973033172,0.07575492251130689,0.09567985532000742,0.10727125679564152,0.08981546320659378,0.09574656679158282,0.08736929978194558,0.21375683748129248
Austria,recipient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4220612983363585,0.0011779855275946098,0.7417700276560865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4617294164043235,0.0,0.0,0.00048698463756392015,0.0,0.0,0.0,0.0,1.9145990898475285,2.388751917189154,0.0,2.1949774987449214e-05,0.0018530185255144233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2099941938528866
Belgium,donor,0.8151088167382571,0.6404965701723458,0.9141510506819353,0.9775000006642643,0.7275535322207443,0.6707600213016893,0.9297028427572828,0.0,0.44497420907673046,0.0,0.8741941531540592,0.0,0.05175608569431579,0.0,0.0,0.0,2.3513810284907786,1.8734295239388425,0.0,1.8290682623599506,0.8332106967650816,0.2108707194812539,0.3657741787116446,0.22481839183818791,0.21052446459275787,0.27413128197145537,0.15767805070974525,0.3212618441387724,0.35526415084695173,0.6080904376681733,0.9012697647042753,0.7650559284102069,0.7015659427099987,0.7659593197556979,0.4064741506349641,0.5784220642508087,0.5203362017996211,0.5405838769351287,0.722585863590334,0.365519772136979,0.8325856307546241,0.5846294996092594
Belgium,recipient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3339791600895672,0.26214793890444077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050257401045092624
Brazil,donor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006232866051600829,0.0018409210991367213,0.0,0.01193004974355892,0.0,0.0,0.0,0.0003092767620675757
Brazil,recipient,6.4806742033822315,4.505235971463152,2.3692912105384827,2.2614882434201644,10.175290392414013,3.1576155525819023,5.054619387290488,3.5868261810147324,7.326729081900273,7.313738696422767,2.4467729761612804,7.055403746313694,14.201229907173689,7.845806601859607,9.404732748671595,4.968241821331783,6.018695455300922,5.472421641115928,14.113384644749358,1.0483182309648096,8.012312733320769,22.03609485655153,20.466287708351146,16.461774204934272,12.089999548030715,19.191437103091413,6.819401670905641,10.989669328770379,17.558938811812517,14.796671060536424,11.931042795694523,9.411687049777193,10.51504505783001,6.200968663273225,5.200444193064197,6.278015344713241,9.528163967251025,13.815127835927546,15.307283619430741,24.967635304673767,8.568071596663541,9.980055575029041
Canada,donor,9.094195467589083,1.006579685091136,2.1882170842706183,3.146457113305995,0.7905384237887232,2.0945615445422727,2.4219740628240203,1.2563546783431796,3.930815779093663,1.113302471802804,2.798145960958465,7.578793068737909,1.8091057351311362,7.724970273573974,4.522523128154291,2.323634270077778,1.2255002387334275,1.4657184170141986,0.7985728553025299,0.790878980525746,1.4237152897400833,0.6548426143332732,1.1200230323867748,2.081399928641322,0.6822633316190807,4.210175558663258,2.2438301314712534,3.5452780755224262,3.8930760633990307,2.3183339495753694,2.3625979682572718,2.506318419944004,0.967921046272128,0.7901994862690083,0.7677849163812609,0.8270364364776762,0.9008722686839874,0.8679182043737553,0.7523357317117224,0.6062262380670417,0.667656750156243,2.035510827366323
Canada,recipient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.796445701463043,18.256675697671774,2.1544482591829492,0.0,1.6775165629120277,0.0,0.0,0.0,0.0,0.02507805151237433,0.0,0.0,0.0,0.9253644760471534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625773127767999,0.0,0.0,0.0,0.0,0.0,0.0006046794073957225,0.0,0.0,0.0,0.0,0.0,1.1092167195278007
Chile,donor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011287995312782508,0.0004906407820002306,0.0005519902631624911,0.0007260007265856884,0.0016909562343551008,0.0006960884991071349,0.00011206649433958367,0.0004954782278185739,0.0011687570065089044,0.0,0.0,0.0,0.00015385567451436328
Chile,recipient,1.8286074528824106,3.7865192650578723,8.595215820988908,4.2088464719277265,0.052113353654681886,0.09207114767034462,1.4926355067634178,0.15533374650028883,0.178241507897204,0.3255960989307512,0.6402796540443845,3.4423737603048963,7.714463569765032,2.433557581631382,0.8552694649058152,1.1402796697289508,1.9461126178124688,2.6067750918865054,5.811374486495042,2.666116310210221,2.722168606707905,0.7739821836185069,2.594517999669157,0.5726538109401992,1.070692097178918,3.0482231073564443,1.616098475650877,1.4263668169983243,3.235284803812142,1.1382997506970094,1.1417445058408877,1.2518457386389747,1.0667037415280354,0.7063317781838163,1.40779266152294,3.0020681449645803,1.6629063940222593,1.5662891943431334,0.964085262273648,0.743975417806565,3.6840580911899212,1.9994673230068458
